"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","test_titulo_login","tests","2026-06-17","passed","2026-06-17","","test_cadastro_produtos_test","",""
"","10460","test_TC005_editarCadastroGrupoPermissao","tests","2026-06-15","broken","2026-06-15","","test_pericia_medica_test","",""
"","10354","test_TC003_efetuarLogin","tests","2026-06-15","broken","2026-06-15","","test_pericia_medica_test","",""
"","113","test_entrar_sem_informar_credenciais","tests","2026-06-17","passed","2026-06-17","","test_cadastro_produtos_test","",""
"","17","test_TC001_validarTitulos","tests","2026-06-15","passed","2026-06-15","","test_pericia_medica_test","",""
"","194","test_efetuar_login_dados_invalidos","tests","2026-06-17","passed","2026-06-17","","test_cadastro_produtos_test","",""
"","85","test_validar_tela_login","tests","2026-06-17","passed","2026-06-17","","test_cadastro_produtos_test","",""
"","5734","test_TC002_validarCamposLogin","tests","2026-06-15","passed","2026-06-15","","test_pericia_medica_test","",""
"","10480","test_TC004_cadastrarGrupoPermissao","tests","2026-06-15","broken","2026-06-15","","test_pericia_medica_test","",""
"","537","test_efetuar_login_dados_validos","tests","2026-06-17","passed","2026-06-17","","test_cadastro_produtos_test","",""
